Вік	Стаж_роботи_роки	Дохід_тис_грн	Вартість_авто_тис_грн	Рішення
35	10	45	300	видати
22	1	15	500	відмовити
41	15	60	450	видати
28	4	25	200	видати
19	0	10	800	відмовити
50	25	80	1200	видати
31	8	30	400	видати
25	2	18	350	відмовити
45	20	55	600	видати
29	5	22	250	видати
21	1	12	300	відмовити
38	12	50	900	видати
48	22	70	1500	видати
24	3	20	280	відмовити
33	9	35	400	видати
27	4	24	320	видати
55	30	90	2000	видати
20	0	14	400	відмовити
36	11	48	550	видати
42	18	65	800	видати
23	2	16	250	відмовити
30	6	28	350	видати
46	21	58	700	видати
26	3	21	300	відмовити
39	14	52	650	видати
32	7	32	380	видати
49	24	75	1000	видати
21	1	13	200	відмовити
34	10	40	450	видати
43	19	62	850	видати
28	5	26	300	видати
22	1	15	400	відмовити
52	26	85	1300	видати
37	13	46	500	видати
47	23	68	950	видати
25	2	19	250	відмовити
40	16	54	600	видати
31	8	30	350	видати
54	28	88	1800	видати
20	0	11	300	відмовити
35	11	42	480	видати
44	17	64	750	видати
29	6	27	320	видати
24	3	17	200	відмовити
51	25	82	1400	видати
38	14	50	550	видати
48	21	72	1100	видати
23	2	18	280	відмовити
36	12	44	420	видати
41	15	56	650	видати
